timestamp,value
1685020928.118148,"3,2214"
1685020929.124415,"3,2241"
1685020930.131032,"3,2127"
1685020931.138084,"3,2299"
1685020932.147081,"3,2408"
1685020933.15542,"3,23"
1685020934.205717,"3,2171"
1685020935.212738,"3,2314"
1685020936.219544,"3,2601"
1685020937.227015,"3,2477"
1685020938.23336,"3,2543"
1685020939.240852,"3,2589"
1685020940.247654,"3,2448"
1685020941.256062,"3,2252"
1685020942.318502,"3,2553"
1685020943.325008,"3,2609"
1685020944.331464,"3,2531"
1685020945.339076,"3,2584"
,"3,24033888888889"
