timestamp,value
1685023530.980033,"3,2087"
1685023531.986458,"3,2001"
1685023532.993664,"3,1712"
1685023534.002644,"3,1803"
1685023535.052531,"3,2225"
1685023536.059009,"3,1926"
1685023537.065964,"3,2535"
1685023538.072392,"3,1959"
1685023539.078718,"3,2298"
1685023540.084998,"3,2004"
1685023541.093653,"3,258"
1685023542.102747,"3,2221"
1685023543.165212,"3,2359"
1685023544.171833,"3,2104"
1685023545.178256,"3,2155"
1685023546.184533,"3,2303"
1685023547.193855,"3,2266"
1685023548.202895,"3,1679"
1685023549.252608,"3,1884"
1685023550.259011,"3,2185"
1685023551.265428,"3,2381"
1685023552.271769,"3,2211"
1685023553.278169,"3,2271"
1685023554.284766,"3,2024"
1685023555.293935,"3,2062"
1685023556.303031,"3,2605"
1685023557.36461,"3,2299"
1685023558.371175,"3,2212"
1685023559.377523,"3,2115"
1685023560.383331,"3,2214"
1685023561.389863,"3,2474"
1685023562.396278,"3,1882"
1685023563.403068,"3,2303"
1685023564.453332,"3,2601"
1685023565.459889,"3,1832"
1685023566.466351,"3,2305"
1685023567.472789,"3,2313"
1685023568.479405,"3,2216"
1685023569.485858,"3,2263"
1685023570.49436,"3,1984"
1685023571.50307,"3,2018"
1685023572.565786,"3,1939"
1685023573.572132,"3,1757"
1685023574.578616,"3,2255"
1685023575.584928,"3,2115"
1685023576.591412,"3,2139"
1685023577.597809,"3,2294"
1685023578.604085,"3,2311"
1685023579.653338,"3,2364"
1685023580.659757,"3,2114"
1685023581.666142,"3,2541"
1685023582.672664,"3,2641"
1685023583.679068,"3,2631"
1685023584.685466,"3,2742"
1685023585.694582,"3,2221"
1685023586.703495,"3,219"
1685023587.765883,"3,2772"
1685023588.77227,"3,2453"
1685023589.779015,"3,2693"
1685023590.785462,"3,2254"
1685023591.79466,"3,213"
1685023592.80376,"3,2684"
1685023593.853883,"3,2034"
1685023594.860345,"3,2287"
1685023595.866677,"3,2473"
1685023596.873058,"3,2277"
1685023597.879477,"3,2687"
1685023598.885803,"3,2648"
1685023599.895146,"3,2578"
1685023600.903821,"3,2616"
1685023601.965144,"3,2521"
1685023602.971564,"3,2571"
1685023603.978091,"3,2523"
1685023604.984554,"3,2361"
1685023605.99091,"3,2712"
1685023606.997389,"3,2512"
1685023608.003857,"3,2867"
1685023609.053788,"3,2583"
1685023610.060369,"3,2599"
1685023611.066953,"3,2341"
1685023612.073389,"3,2213"
1685023613.079759,"3,2375"
1685023614.086297,"3,2278"
1685023615.0952,"3,2272"
1685023616.104196,"3,2209"
1685023617.166551,"3,2593"
1685023618.173095,"3,2259"
1685023619.179534,"3,2085"
1685023620.185972,"3,2446"
1685023621.195352,"3,2387"
1685023622.204234,"3,2157"
1685023623.25393,"3,2318"
1685023624.260516,"3,234"
1685023625.267045,"3,2068"
1685023626.273377,"3,2545"
1685023627.279928,"3,2715"
1685023628.286455,"3,2312"
1685023629.295383,"3,1936"
1685023630.304456,"3,2718"
1685023631.366423,"3,231"
1685023632.372943,"3,2231"
1685023633.37932,"3,2806"
1685023634.385777,"3,2311"
1685023635.392107,"3,2168"
1685023636.398463,"3,1877"
1685023637.404858,"3,204"
1685023638.449691,"3,2541"
1685023639.456159,"3,2092"
1685023640.462482,"3,2213"
1685023641.468931,"3,1984"
1685023642.475409,"3,2406"
1685023643.481764,"3,2081"
1685023644.488231,"3,2097"
1685023645.495609,"3,2024"
1685023646.504646,"3,2151"
1685023647.567091,"3,2446"
1685023648.573458,"3,2223"
1685023649.580108,"3,2212"
1685023650.58658,"3,1988"
1685023651.595802,"3,2629"
1685023652.604923,"3,2119"
1685023653.654642,"3,2494"
1685023654.661104,"3,2142"
1685023655.667524,"3,2489"
1685023656.673832,"3,2022"
1685023657.680252,"3,1986"
1685023658.686534,"3,2279"
1685023659.693112,"3,2177"
1685023660.699631,"3,2084"
1685023661.705964,"3,236"
1685023662.767831,"3,1939"
1685023663.774422,"3,2291"
1685023664.780834,"3,2217"
1685023665.787256,"3,2327"
1685023666.796138,"3,2049"
1685023667.805087,"3,2283"
1685023668.855244,"3,2359"
1685023669.861776,"3,2136"
1685023670.868374,"3,1945"
1685023671.874724,"3,2701"
1685023672.881079,"3,2094"
,"3,22755319148936"
