timestamp,value
1685023760.16938,3.213
1685023761.175989,3.2397
1685023762.182403,3.1848
1685023763.189141,3.2066
1685023764.198126,3.2234
1685023765.206925,3.2227
1685023766.256771,3.2435
1685023767.263401,3.2596
1685023768.270088,3.2459
1685023769.276525,3.237
1685023770.283104,3.2219
1685023771.289431,3.248
1685023772.298297,3.2206
1685023773.307095,3.3108
1685023774.370423,3.2207
1685023775.376763,3.2707
1685023776.383355,3.2436
1685023777.389801,3.1783
1685023778.398577,3.2723
1685023779.407285,3.2596
1685023780.45742,3.2501
1685023781.463907,3.2031
1685023782.470341,3.2094
