timestamp,value
1685023032.155489,3.2081
1685023033.161996,3.2343
1685023034.168783,3.2492
1685023035.175254,3.2708
1685023036.184462,3.2124
1685023037.193231,3.214
1685023038.24323,3.2278
1685023039.249813,3.2174
1685023040.256657,3.2209
1685023041.26314,3.2285
1685023042.270521,3.2226
1685023043.277384,3.2463
1685023044.28445,3.2361
1685023045.293815,3.2447
1685023046.356008,3.2053
1685023047.364012,3.2099
1685023048.370917,3.2422
1685023049.37752,3.2193
1685023050.383794,3.1916
1685023051.390386,3.2028
1685023052.397701,3.1904
1685023053.443869,3.2272
1685023054.450645,3.2128
1685023055.457566,3.2138
1685023056.46423,3.2507
1685023057.47071,3.2591
1685023058.47698,3.2007
1685023059.485019,3.2519
1685023060.493758,3.2188
1685023061.556352,3.2358
1685023062.56302,3.2145
1685023063.569538,3.1935
1685023064.575978,3.2484
1685023065.584492,3.2601
1685023066.591144,3.1988
1685023067.594709,3.2842
1685023068.646651,3.261
1685023069.653709,3.2577
1685023070.663537,3.262
1685023072.677597,3.2771
1685023073.685559,3.2301
1685023074.698934,3.2068
1685023075.756421,3.2562
1685023076.763655,3.2215
1685023077.770473,3.2839
1685023078.777238,3.2279
1685023079.785244,3.2519
1685023080.794727,3.2405
1685023081.844203,3.2621
1685023082.851098,3.2349
1685023083.858151,3.2203
1685023084.864873,3.2204
1685023085.871896,3.2046
1685023086.878657,3.2337
1685023087.886035,3.2926
1685023088.895017,3.2521
1685023089.957637,3.2296
1685023090.964249,3.2447
1685023091.970796,3.2498
1685023092.977458,3.2107
1685023093.98571,3.2673
1685023094.994447,3.2207
1685023096.044632,3.1959
1685023097.051673,3.2195
1685023098.059552,3.2361
1685023099.066431,3.2207
1685023100.072777,3.222
1685023101.082516,3.2404
1685023102.089459,3.2397
1685023103.096319,3.2294
1685023104.155901,3.2567
1685023105.162877,3.2318
1685023106.170618,3.2416
1685023107.177785,3.2345
1685023108.185842,3.1933
1685023109.195283,3.2313
1685023110.244286,3.2524
1685023111.250799,3.1856
1685023112.257147,3.2247
1685023113.263473,3.2001
1685023114.270354,3.2333
1685023115.277083,3.2254
1685023116.286012,3.2311
1685023117.295058,3.1906
1685023118.352549,3.2305
1685023119.358058,3.2436
1685023120.368153,3.2213
1685023121.374847,3.2201
1685023122.381702,3.2053
1685023123.388268,3.2442
1685023124.396361,3.2324
1685023125.445365,3.2605
1685023126.451895,3.1894
1685023127.45948,3.2454
1685023128.466626,3.2619
1685023129.47351,3.2473
1685023130.482036,3.2426
1685023131.488962,3.3023
1685023132.495697,3.2381
1685023133.557526,3.2077
1685023134.563998,3.2146
1685023135.570577,3.2677
1685023136.578362,3.1993
1685023137.58641,3.2298
1685023138.5951,3.2004
1685023139.646296,3.2017
1685023140.652844,3.2402
1685023141.659539,3.2494
1685023142.673809,3.1914
1685023143.680417,3.1891
1685023144.687302,3.2076
1685023145.697102,3.2035
1685023146.758,3.2312
1685023147.764677,3.1969
1685023148.771725,3.2202
1685023149.778712,3.1805
1685023150.786439,3.1875
1685023151.795841,3.2084
1685023152.845171,3.1783
1685023153.853106,3.2105
1685023154.860558,3.2228
1685023155.867474,3.2195
1685023156.874046,3.256
1685023157.880631,3.2659
1685023158.887177,3.252
1685023159.896608,3.2352
1685023160.958376,3.2284
1685023161.965206,3.2289
1685023162.977412,3.2085
1685023163.987011,3.196
1685023164.995788,3.2219
1685023166.045914,3.2383
1685023167.052589,3.233
1685023168.059119,3.2511
1685023169.06727,3.2571
1685023170.074217,3.2846
1685023171.081494,3.2266
1685023172.088205,3.2378
1685023173.095949,3.2061
1685023174.158436,3.2301
1685023175.166084,3.2223
1685023176.172878,3.2267
1685023177.179451,3.2381
1685023178.187007,3.2378
1685023179.196206,3.2495
1685023180.246197,3.2361
1685023181.253887,3.2555
1685023182.260587,3.2156
1685023183.267064,3.2555
1685023184.273813,3.2519
1685023185.280577,3.2567
1685023186.287478,3.2803
